Frequency (Hz)	Level (dB)
15609.375000	-62.092457
15656.250000	-62.248356
15703.125000	-62.573898
15750.000000	-62.073555
15796.875000	-62.331448
15843.750000	-62.202690
15890.625000	-62.183990
15937.500000	-62.673378
15984.375000	-62.746098
16031.250000	-62.156326
16078.125000	-61.860203
16125.000000	-61.503170
16171.875000	-61.231186
16218.750000	-61.506741
16265.625000	-61.737797
16312.500000	-61.832409
16359.375000	-61.964554
16406.250000	-62.250565
16453.125000	-62.141178
16500.000000	-62.237324
16546.875000	-61.628323
16593.750000	-61.908436
16640.625000	-61.834038
16687.500000	-61.337749
16734.375000	-61.957211
16781.250000	-61.964657
16828.125000	-62.499786
16875.000000	-63.162117
16921.875000	-62.037373
16968.750000	-61.627972
17015.625000	-61.930607
17062.500000	-61.944096
17109.375000	-61.853447
17156.250000	-62.115971
17203.125000	-62.345596
17250.000000	-62.941570
17296.875000	-62.529217
17343.750000	-62.591511
17390.625000	-62.521393
17437.500000	-62.002670
17484.375000	-62.088364
17531.250000	-62.930984
17578.125000	-62.355549
17625.000000	-61.728180
17671.875000	-62.138607
17718.750000	-62.519470
17765.625000	-62.593502
17812.500000	-62.665932
17859.375000	-62.617313
17906.250000	-62.306271
17953.125000	-62.107582
18000.000000	-62.917175
18046.875000	-62.441193
18093.750000	-61.651913
18140.625000	-62.349377
18187.500000	-63.405304
18234.375000	-63.062531
18281.250000	-62.725937
18328.125000	-62.404263
18375.000000	-62.271107
18421.875000	-62.250050
18468.750000	-62.736252
18515.625000	-62.667156
18562.500000	-62.451473
18609.375000	-62.206715
18656.250000	-61.953346
18703.125000	-62.308685
18750.000000	-62.649181
18796.875000	-62.797058
18843.750000	-62.712208
18890.625000	-62.336300
18937.500000	-61.874004
18984.375000	-61.490345
19031.250000	-62.107391
19078.125000	-62.246067
19125.000000	-62.075359
19171.875000	-62.320896
19218.750000	-62.461590
19265.625000	-62.014938
19312.500000	-62.436855
19359.375000	-62.502136
19406.250000	-61.861828
19453.125000	-61.961056
19500.000000	-60.011024
19546.875000	-58.188118
19593.750000	-61.562054
19640.625000	-62.473629
19687.500000	-62.100765
19734.375000	-61.806129
19781.250000	-62.044029
19828.125000	-62.450283
19875.000000	-63.126160
19921.875000	-62.927410
19968.750000	-61.756847
20015.625000	-61.469379
20062.500000	-61.760929
20109.375000	-62.395252
20156.250000	-62.335583
20203.125000	-61.947781
20250.000000	-61.832642
20296.875000	-62.013634
20343.750000	-61.983696
20390.625000	-62.134209
20437.500000	-62.546135
20484.375000	-62.401600
20531.250000	-62.254131
20578.125000	-62.313942
20625.000000	-62.338505
20671.875000	-62.111691
20718.750000	-62.403976
20765.625000	-62.599438
20812.500000	-62.592503
20859.375000	-62.321053
20906.250000	-62.418247
20953.125000	-61.933182
21000.000000	-61.783920
21046.875000	-61.776211
21093.750000	-62.207840
21140.625000	-61.538933
21187.500000	-61.791534
21234.375000	-62.278790
21281.250000	-62.197243
21328.125000	-61.894653
21375.000000	-62.020279
21421.875000	-62.304890
21468.750000	-62.105904
21515.625000	-62.004398
21562.500000	-62.081825
21609.375000	-62.184654
21656.250000	-62.498993
21703.125000	-62.668968
21750.000000	-62.392704
21796.875000	-62.612755
21843.750000	-62.183231
21890.625000	-62.313057
21937.500000	-62.081566
21984.375000	-61.638988
22031.250000	-62.860382
22078.125000	-61.944061
22125.000000	-61.216743
22171.875000	-61.919090
22218.750000	-62.599495
22265.625000	-62.111706
22312.500000	-61.786926
22359.375000	-61.554962
22406.250000	-61.942417
22453.125000	-61.992744
22500.000000	-62.315903
22546.875000	-62.249554
22593.750000	-61.633579
22640.625000	-61.953758
22687.500000	-62.250298
22734.375000	-62.092037
22781.250000	-62.711739
22828.125000	-62.091198
22875.000000	-61.656860
22921.875000	-62.331078
22968.750000	-62.644238
23015.625000	-62.852936
23062.500000	-62.404617
23109.375000	-62.394176
23156.250000	-61.942394
23203.125000	-61.805237
23250.000000	-62.372192
23296.875000	-62.343231
23343.750000	-61.574970
23390.625000	-62.019859
23437.500000	-62.736141
23484.375000	-62.494946
23531.250000	-62.148235
23578.125000	-61.770824
23625.000000	-62.226391
23671.875000	-61.909142
23718.750000	-61.929462
23765.625000	-61.667248
23812.500000	-61.269539
23859.375000	-61.403816
23906.250000	-61.177231
23953.125000	-61.686527
